Symbol,Company,Sector,Exchange,price,sma21,sma50,market_cap,atr,avg_volume,passes_price_sma21,passes_price_sma50,passes_price_min,passes_market_cap,passes_atr,passes_avg_volume,primary_gate_pass,primary_gate_fail_reasons,sector_etf,sector_perf_1w,sector_perf_1m,sector_perf_3m,sector_perf_6m,sector_perf_1y,sector_score,sector_rank,BasicPreAIScore,TechnicalPreAIScore,TodayFocusScore,FocusStructureScore,FinalPreAIScore,DollarVolume20,PassedFocusGate,GateFailureReasons,Actionability,TriggerLevel,InvalidationLevel,DoNotChaseAbove,PreferredEntryStyle,TodayFocusWarnings,TodayFocusDisqualifiers,PctAboveEMA8,PctAboveEMA21,NearestSupportDistancePct,NearestResistanceDistancePct,NearestDemandDistancePct,NearestSupplyDistancePct,IgnitionAgeBars,PctFromIgnitionClose,HasNearbyTrigger,HasNearbyRetestArea,HasReasonableInvalidation,IsExtended,IsSeverelyExtended,StructureType,ImpulsePresent,ControlledDigestion,CompressionPresent,VolumeDryup,HoldingEMAStructure,TriggerNearby,InvalidationNearby,ExtensionRisk,StructureVerdict,StructureReasons,StructureWarnings,StructureDisqualifiers,ClassificationReason,ScoreBeforeCaps,ScoreAfterCaps,ScoreCapReasons,PullbackDepthPct,RangeContractionPct,LowerHighs,HigherLows,CompressionQuality,DigestionQuality,EMAQuality,TriggerDistancePct,InvalidationDistancePct,VolumeDryupPct,StructurePctAboveEMA8,StructurePctAboveEMA21
AOS,A. O. Smith,Industrials,,56.84000015258789,57.62761888049898,61.684199523925784,7834179072.0,1.4115794045584542,1539027.75,False,False,True,True,False,True,False,price_below_21sma; price_below_50sma; atr14_below_1.5,XLI,0.5622465349286676,2.514915872737511,-0.39211367654696794,15.742205463258996,22.882781498397264,4.611788662008522,3.0,,,,,,87478337.544837,False,primary_gate_failed: price_below_21sma; price_below_50sma; atr14_below_1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABT,Abbott Laboratories,Health Care,,87.2300033569336,86.25857180640811,93.09560028076172,151938367488.0,1.8821422031947546,11616139.45,True,False,True,True,True,True,False,price_below_50sma,XLV,-0.8098572663743253,1.9726463557028007,-6.026740626532378,-4.961676157760298,11.200275283636184,-0.7543398219361495,7.0,,,,,,1013275883.2181087,False,primary_gate_failed: price_below_50sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACN,Accenture,Information Technology,,178.22999572753906,177.11000133696058,184.43739990234374,109689004032.0,8.172857012067523,5929973.1,True,False,True,True,True,True,False,price_below_50sma,XLK,6.471297127015552,21.175564205602782,40.421203257681725,37.150341405739695,68.58983306773192,30.347307111735624,1.0,,,,,,1056899080.2774215,False,primary_gate_failed: price_below_50sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES,AES Corporation,Utilities,,14.699999809265137,14.545238086155482,14.424599952697754,10483489792.0,0.06714275905064174,11215494.9,True,True,True,True,False,True,False,atr14_below_1.5,XLU,-1.9051852502877553,-4.507224931486409,-6.325368414452203,0.05648561875111202,7.763442722956704,-2.848822219668353,10.0,,,,,,164867772.89081413,False,primary_gate_failed: atr14_below_1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBE,Adobe Inc.,Information Technology,,256.56500244140625,249.90214247930618,245.47010040283203,103703576576.0,10.700714111328125,4790847.85,True,True,True,True,True,True,True,,XLK,6.471297127015552,21.175564205602782,40.421203257681725,37.150341405739695,68.58983306773192,30.347307111735624,1.0,40.0,105.0,100.0,70.0,89.25,1229163890.3316557,True,,breakout_only,258.75,244.27000427246094,,breakout,"Support exists but is farther away, making same-day risk wider.",,0.4409100812411637,2.2194934782354014,7.7582673357184495,0.8516350779731674,2.4029031575847237,,3.0,-1.020403958514171,True,True,True,False,False,high_tight_flag,True,True,False,False,True,True,True,low,Structure is constructive but still needs confirmation.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is acceptable.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.,,"Impulse, controlled digestion, EMA hold, and nearby risk/trigger path classified as high_tight_flag despite imperfect compression.",70.0,70.0,,7.356810095059885,-48.61373065177767,False,True,none,acceptable,acceptable,0.8516350779731674,2.1713015812468095,1.0029504187180405,0.4409100812411637,2.2194934782354014
MMM,3M,Industrials,,152.58999633789062,148.98571414039247,147.82340026855468,79585943552.0,3.5371431623186385,3836146.15,True,True,True,True,True,True,True,,XLI,0.5622465349286676,2.514915872737511,-0.39211367654696794,15.742205463258996,22.882781498397264,4.611788662008522,3.0,40.0,90.0,82.0,15.0,57.2,585357526.9801131,False,focus_structure_score_below_65: 15,breakout_only,156.69000244140625,143.58999633789062,,breakout,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.",,0.2543337802274781,1.5420906104119725,5.898158605411242,2.686942920187696,3.4209327911274845,,,,True,True,True,False,False,breakout_retest,False,False,False,True,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Volume has dried up during consolidation.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear recent bullish impulse detected.; No controlled digestion after impulse was detected.; No clear compression/base detected.,,Price is holding EMA structure near a clear invalidation/retest area; classified as breakout_retest.,15.0,15.0,,,12.682358902023083,True,True,loose,none,strong,2.686942920187696,1.5186713225440074,21.73386033324024,0.2543337802274781,1.5420906104119725
ABBV,AbbVie,Health Care,,218.02999877929688,211.07619004022507,208.82939971923827,385213825024.0,5.300358363560268,5419676.35,True,True,True,True,True,True,True,,XLV,-0.8098572663743253,1.9726463557028007,-6.026740626532378,-4.961676157760298,11.200275283636184,-0.7543398219361495,7.0,45.0,70.0,62.0,15.0,45.2,1181652027.974684,False,today_focus_score_below_70: 62; focus_structure_score_below_65: 15,breakout_only,219.60000610351562,212.5044899534304,,breakout,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.",,1.1934455453564752,2.6001845076672803,6.888962232974693,0.7200877553588336,8.645602077261271,,,,True,True,True,False,False,breakout_retest,False,False,False,True,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Volume has dried up during consolidation.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear recent bullish impulse detected.; No controlled digestion after impulse was detected.; No clear compression/base detected.,,Price is holding EMA structure near a clear invalidation/retest area; classified as breakout_retest.,15.0,15.0,,,-9.025600994893445,False,True,none,none,strong,0.7200877553588336,2.534288335000967,25.471103494817292,1.1934455453564752,2.6001845076672803
AMD,Advanced Micro Devices,Information Technology,,534.3599853515625,460.28809611002606,347.2814001464844,871327727616.0,27.423577444893972,36416829.25,True,True,True,True,True,True,True,,XLK,6.471297127015552,21.175564205602782,40.421203257681725,37.150341405739695,68.58983306773192,30.347307111735624,1.0,43.0,65.0,39.0,35.0,43.9,19459696344.580353,False,actionability_not_allowed: avoid; today_focus_score_below_70: 39; focus_structure_score_below_65: 35; rejected_structure_type: extended_no_base; structure_disqualifier: Structure type is extended_no_base.,avoid,,393.3599853515625,534.3599853515625,no_trade,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; Demand exists but is not near enough for tight same-day risk.; Price is 5-8% above EMA8; avoid chasing without a pullback.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby breakout trigger was identified within 5% of current price.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,5.695076779700248,16.9228134165337,26.386706315076015,,51.68425784989847,,,,False,False,False,True,True,extended_no_base,True,True,False,True,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is tight.; Volume has dried up during consolidation.; A nearby trigger level exists.,No clear compression/base detected.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,"Bullish impulse is present, but high extension and no compression make it extended_no_base.",35.0,35.0,,1.8115115167937956,10.77940885768064,False,True,loose,tight,weak,1.8115115167937956,14.473491461624977,35.3163576889024,5.695076779700248,16.9228134165337
A,Agilent Technologies,Health Care,,138.6199951171875,119.48761894589379,117.35100006103515,39150714880.0,5.005001613071987,2648967.8,True,True,True,True,True,True,True,,XLV,-0.8098572663743253,1.9726463557028007,-6.026740626532378,-4.961676157760298,11.200275283636184,-0.7543398219361495,7.0,33.0,70.0,54.0,5.0,38.4,367199903.5015869,False,today_focus_score_below_70: 54; focus_structure_score_below_65: 5; rejected_structure_type: extended_no_base; pullback_only_structure_below_70: 5; structure_disqualifier: Structure type is extended_no_base.,pullback_only,139.35000610351562,112.9000015258789,138.6199951171875,pullback,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.; Price is 5-8% above EMA8; avoid chasing without a pullback.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,6.494200401158623,12.933205818939687,18.554317196134118,0.5266274794707426,12.653292384915126,,,,True,False,False,True,True,extended_no_base,True,True,False,False,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is tight.; A nearby trigger level exists.,No clear compression/base detected.; Volume dry-up was not detected.; Red-candle volume is expanding during the pullback.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,"Bullish impulse is present, but high extension and no compression make it extended_no_base.",5.0,5.0,,0.25249323030183124,-167.52212424048923,False,True,none,tight,weak,0.5266274794707426,11.452084198933365,-50.65637388258062,6.494200401158623,12.933205818939687
AFL,Aflac,Financials,,115.98500061035156,115.39499991280692,113.48709991455078,59034611712.0,2.150000980922154,2367309.55,True,True,True,True,True,True,True,,XLF,-1.3864221699351975,-1.6923262611796996,-1.53961181640625,-4.12724428112754,-0.5353072383993518,-1.7131210092155136,8.0,40.0,-5.0,5.0,0.0,0.5,274572399.60164106,False,actionability_not_allowed: avoid; today_focus_score_below_70: 5; focus_structure_score_below_65: 0,avoid,116.69999694824219,109.55000305175781,,no_trade,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Wide-spread low-volume action may signal weak participation.",Distribution bias sharply reduces same-day actionability.; Distribution with falling OBV is a hard avoid for long focus.,1.2143414524683704,0.9210792898718179,5.5481290897363085,0.6164558642307805,,,,,True,True,True,False,False,breakout_retest,False,False,False,False,True,True,True,low,No clean Sean-style focus-list structure is present yet.,EMA structure is acceptable.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear recent bullish impulse detected.; No controlled digestion after impulse was detected.; No clear compression/base detected.; Volume dry-up was not detected.; Red-candle volume is expanding during the pullback.,,Price is holding EMA structure near a clear invalidation/retest area; classified as breakout_retest.,0.0,0.0,,,-18.789678239959873,True,True,none,none,acceptable,0.6164558642307805,0.9126728492728775,-33.50896688435614,1.2143414524683704,0.9210792898718179
