Symbol,Company,Sector,Exchange,price,sma21,sma50,market_cap,atr,avg_volume,passes_price_sma21,passes_price_sma50,passes_price_min,passes_market_cap,passes_atr,passes_avg_volume,primary_gate_pass,primary_gate_fail_reasons,sector_etf,sector_perf_1w,sector_perf_1m,sector_perf_3m,sector_perf_6m,sector_perf_1y,sector_score,sector_rank,SectorAlignmentScore,BasicPreAIScore,TechnicalPreAIScore,TodayFocusScore,FocusStructureScore,BlueprintSetupScore,FinalPreAIScore,DollarVolume20,PassedFocusGate,GateFailureReasons,Actionability,TriggerLevel,InvalidationLevel,DoNotChaseAbove,PreferredEntryStyle,TodayFocusWarnings,TodayFocusDisqualifiers,PctAboveEMA8,PctAboveEMA21,NearestSupportDistancePct,NearestResistanceDistancePct,NearestDemandDistancePct,NearestSupplyDistancePct,IgnitionAgeBars,PctFromIgnitionClose,HasNearbyTrigger,HasNearbyRetestArea,HasReasonableInvalidation,IsExtended,IsSeverelyExtended,StructureType,BlueprintSetupType,BlueprintSetupMatch,BlueprintSetupEvidence,BlueprintSetupWarnings,ImpulsePresent,ControlledDigestion,CompressionPresent,VolumeDryup,HoldingEMAStructure,TriggerNearby,InvalidationNearby,ExtensionRisk,StructureVerdict,StructureReasons,StructureWarnings,StructureDisqualifiers,ClassificationReason,ScoreBeforeCaps,ScoreAfterCaps,ScoreCapReasons,PullbackDepthPct,RangeContractionPct,LowerHighs,HigherLows,CompressionQuality,DigestionQuality,EMAQuality,TriggerDistancePct,InvalidationDistancePct,VolumeDryupPct,StructurePctAboveEMA8,StructurePctAboveEMA21,BlueprintRangePosition,BlueprintBaseRangePct,BlueprintShortRangePct
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,Financial Services,NASDAQ,10.520000457763672,10.437999906994047,10.395659980773926,291141024.0,0.01964289801461356,22260.1,True,True,True,False,False,False,False,market_cap_below_300m; atr14_below_1.5; avg_volume_below_1m,XLF,-1.1376878749598252,-1.4443635520258735,-1.2912639136453241,-3.885423196994753,-0.2844261652916291,-1.4652107509219625,8.0,,,,,,,,234176.26218986508,False,primary_gate_failed: market_cap_below_300m; atr14_below_1.5; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,Financial Services,NASDAQ,9.949999809265137,9.941428547813778,,338596832.0,0.01357133047921317,5136.4,True,False,True,True,False,False,False,missing_sma50; atr14_below_1.5; avg_volume_below_1m,XLF,-1.1376878749598252,-1.4443635520258735,-1.2912639136453241,-3.885423196994753,-0.2844261652916291,-1.4652107509219625,8.0,,,,,,,,51107.17902030944,False,primary_gate_failed: missing_sma50; atr14_below_1.5; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,Financial Services,NASDAQ,9.890000343322754,9.919047401064919,,310166912.0,0.006428514208112445,1710.0,False,False,True,True,False,False,False,price_below_21sma; missing_sma50; atr14_below_1.5; avg_volume_below_1m,XLF,-1.1376878749598252,-1.4443635520258735,-1.2912639136453241,-3.885423196994753,-0.2844261652916291,-1.4652107509219625,8.0,,,,,,,,16911.90058708191,False,primary_gate_failed: price_below_21sma; missing_sma50; atr14_below_1.5; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,Financial Services,NASDAQ,9.954999923706055,,,290885088.0,,,False,False,True,False,False,False,False,missing_sma21; missing_sma50; market_cap_below_300m; missing_atr14; missing_avg_volume,XLF,-1.1376878749598252,-1.4443635520258735,-1.2912639136453241,-3.885423196994753,-0.2844261652916291,-1.4652107509219625,8.0,,,,,,,,,False,primary_gate_failed: missing_sma21; missing_sma50; market_cap_below_300m; missing_atr14; missing_avg_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADX,"Applied Aerospace & Defense, Inc. Common Stock",Industrials,NYSE,20.1200008392334,,,,,,False,False,True,False,False,False,False,missing_sma21; missing_sma50; missing_market_cap; missing_atr14; missing_avg_volume,XLI,0.3298892359006045,2.2780467714291763,-0.6222658482167964,15.474773627041504,22.598850776979805,4.370074564545966,4.0,,,,,,,,,False,primary_gate_failed: missing_sma21; missing_sma50; missing_market_cap; missing_atr14; missing_avg_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,"American Airlines Group, Inc. - Common Stock",Industrials,NASDAQ,13.520000457763672,13.366666748410179,12.23640007019043,8941927424.0,0.6292858123779297,66107893.3,True,True,True,True,False,True,False,atr14_below_1.5,XLI,0.3298892359006045,2.2780467714291763,-0.6222658482167964,15.474773627041504,22.598850776979805,4.370074564545966,4.0,,,,,,,,893778747.677792,False,primary_gate_failed: atr14_below_1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAME,Atlantic American Corporation - Common Stock,Financial Services,NASDAQ,1.975000023841858,2.278809530394418,2.387499988079071,40284524.0,0.0939285329410008,7264.05,False,False,False,False,False,False,False,price_below_21sma; price_below_50sma; price_below_5; market_cap_below_300m; atr14_below_1.5; avg_volume_below_1m,XLF,-1.1376878749598252,-1.4443635520258735,-1.2912639136453241,-3.885423196994753,-0.2844261652916291,-1.4652107509219625,8.0,,,,,,,,14346.498923188448,False,primary_gate_failed: price_below_21sma; price_below_50sma; price_below_5; market_cap_below_300m; atr14_below_1.5; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAMI,Acadian Asset Management Inc. Common Stock,Financial Services,NYSE,71.77999877929688,70.9076185680571,65.57699989318847,2557448704.0,2.566777910505022,390862.1,True,True,True,True,True,False,False,avg_volume_below_1m,XLF,-1.1376878749598252,-1.4443635520258735,-1.2912639136453241,-3.885423196994753,-0.2844261652916291,-1.4652107509219625,8.0,,,,,,,,28056081.06087341,False,primary_gate_failed: avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,Alcoa Corporation Common Stock,Basic Materials,NYSE,81.56999969482422,69.25999977475121,67.76079986572266,21525495808.0,3.6737578255789622,4378765.55,True,True,True,True,True,True,True,,XLB,1.2114086131063795,2.2704791244558375,-0.23112275831422835,16.16954263242856,19.286125842582535,4.399655479964868,3.0,86.19982773998244,33.0,85.0,59.0,20.0,0.0,49.31998277399825,357175904.5772068,False,today_focus_score_below_70: 59; focus_structure_score_below_65: 20; rejected_structure_type: extended_no_base; pullback_only_structure_below_70: 20; structure_disqualifier: Structure type is extended_no_base.,pullback_only,,76.20999908447266,81.56999969482422,pullback,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; Price is 5-8% above EMA8; avoid chasing without a pullback.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby breakout trigger was identified within 5% of current price.; Severely extended from EMA8/EMA21; not a ready_today setup.",,5.907711909614699,13.663275331621083,16.427610121382852,,2.407744139456769,,,,False,True,True,True,True,extended_no_base,no_blueprint_setup,False,,No named Blueprint daily setup was detected.; Extension risk is high; Blueprint setup is capped until a cleaner base or retest forms.,True,True,False,False,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; A nearby trigger level exists.,No clear compression/base detected.; Volume dry-up was not detected.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,"Bullish impulse is present, but high extension and no compression make it extended_no_base.",20.0,20.0,,3.4448909759797974,-15.742998820374577,False,True,none,acceptable,weak,3.4448909759797974,6.5710440485531425,-8.68171940398248,5.907711909614699,13.663275331621083,0.9324844394351718,53.24820833383272,38.532256550322465
A,"Agilent Technologies, Inc. Common Stock",Healthcare,NYSE,138.27999877929688,119.47142864408947,117.34420013427734,39054688256.0,5.005001613071987,2653537.6,True,True,True,True,True,True,True,,XLV,-0.6149561982795593,2.173014831273501,-5.842090336498796,-4.774933097247391,11.418775346524669,-0.5593296662957723,7.0,49.72033516685212,33.0,70.0,54.0,5.0,0.0,36.67203351668521,366931176.0888184,False,today_focus_score_below_70: 54; focus_structure_score_below_65: 5; rejected_structure_type: extended_no_base; pullback_only_structure_below_70: 5; structure_disqualifier: Structure type is extended_no_base.,pullback_only,139.35000610351562,112.9000015258789,138.27999877929688,pullback,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.; Price is 5-8% above EMA8; avoid chasing without a pullback.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,6.294698042360514,12.684587429856053,18.3540623933082,0.7737976089561283,12.438528420653528,,,,True,False,False,True,True,extended_no_base,no_blueprint_setup,False,,No named Blueprint daily setup was detected.; Extension risk is high; Blueprint setup is capped until a cleaner base or retest forms.,True,True,False,False,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is tight.; A nearby trigger level exists.,No clear compression/base detected.; Volume dry-up was not detected.; Red-candle volume is expanding during the pullback.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,"Bullish impulse is present, but high extension and no compression make it extended_no_base.",5.0,5.0,,0.4989893314271354,-167.52212424048923,False,True,none,tight,weak,0.7737976089561283,11.256719059074472,-51.09527868553305,6.294698042360514,12.684587429856053,0.7168861038507511,28.610990370063316,28.610990370063316
