Symbol,Company,Sector,Exchange,price,sma21,sma50,market_cap,atr,avg_volume,passes_price_sma21,passes_price_sma50,passes_price_min,passes_market_cap,passes_atr,passes_avg_volume,primary_gate_pass,primary_gate_fail_reasons,sector_etf,sector_perf_1w,sector_perf_1m,sector_perf_3m,sector_perf_6m,sector_perf_1y,sector_score,sector_rank,BasicPreAIScore,TechnicalPreAIScore,TodayFocusScore,FocusStructureScore,FinalPreAIScore,DollarVolume20,PassedFocusGate,GateFailureReasons,Actionability,TriggerLevel,InvalidationLevel,DoNotChaseAbove,PreferredEntryStyle,TodayFocusWarnings,TodayFocusDisqualifiers,PctAboveEMA8,PctAboveEMA21,NearestSupportDistancePct,NearestResistanceDistancePct,NearestDemandDistancePct,NearestSupplyDistancePct,IgnitionAgeBars,PctFromIgnitionClose,HasNearbyTrigger,HasNearbyRetestArea,HasReasonableInvalidation,IsExtended,IsSeverelyExtended,StructureType,ImpulsePresent,ControlledDigestion,CompressionPresent,VolumeDryup,HoldingEMAStructure,TriggerNearby,InvalidationNearby,ExtensionRisk,StructureVerdict,StructureReasons,StructureWarnings,StructureDisqualifiers,ClassificationReason,ScoreBeforeCaps,ScoreAfterCaps,ScoreCapReasons,PullbackDepthPct,RangeContractionPct,LowerHighs,HigherLows,CompressionQuality,DigestionQuality,EMAQuality,TriggerDistancePct,InvalidationDistancePct,VolumeDryupPct,StructurePctAboveEMA8,StructurePctAboveEMA21
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,Financial Services,NASDAQ,10.520000457763672,10.437999906994047,10.395659980773926,291141024.0,0.01964289801461356,22260.1,True,True,True,False,False,False,False,market_cap_below_300m; atr14_below_1.5; avg_volume_below_1m,XLF,-1.4585764813444868,-1.7642567464227765,-1.6116540408828928,-4.197393167559049,-0.6080842998717251,-1.7850362792036756,8.0,,,,,,234176.26218986508,False,primary_gate_failed: market_cap_below_300m; atr14_below_1.5; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,Financial Services,NASDAQ,9.949999809265137,9.941428547813778,,338596832.0,0.01357133047921317,5136.35,True,False,True,True,False,False,False,missing_sma50; atr14_below_1.5; avg_volume_below_1m,XLF,-1.4585764813444868,-1.7642567464227765,-1.6116540408828928,-4.197393167559049,-0.6080842998717251,-1.7850362792036756,8.0,,,,,,51106.68152031899,False,primary_gate_failed: missing_sma50; atr14_below_1.5; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,Financial Services,NASDAQ,9.890000343322754,9.919047401064919,,310166912.0,0.006428514208112445,1710.0,False,False,True,True,False,False,False,price_below_21sma; missing_sma50; atr14_below_1.5; avg_volume_below_1m,XLF,-1.4585764813444868,-1.7642567464227765,-1.6116540408828928,-4.197393167559049,-0.6080842998717251,-1.7850362792036756,8.0,,,,,,16911.90058708191,False,primary_gate_failed: price_below_21sma; missing_sma50; atr14_below_1.5; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,Financial Services,NASDAQ,9.960000038146973,,,291031200.0,,,False,False,True,False,False,False,False,missing_sma21; missing_sma50; market_cap_below_300m; missing_atr14; missing_avg_volume,XLF,-1.4585764813444868,-1.7642567464227765,-1.6116540408828928,-4.197393167559049,-0.6080842998717251,-1.7850362792036756,8.0,,,,,,,False,primary_gate_failed: missing_sma21; missing_sma50; market_cap_below_300m; missing_atr14; missing_avg_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADX,"Applied Aerospace & Defense, Inc. Common Stock",Industrials,NYSE,20.0,,,,,,False,False,True,False,False,False,False,missing_sma21; missing_sma50; missing_market_cap; missing_atr14; missing_avg_volume,XLI,0.46471459805610404,2.415490107622742,-0.48872001158478673,15.629950995347809,22.76360162622064,4.510329210579453,4.0,,,,,,,False,primary_gate_failed: missing_sma21; missing_sma50; missing_market_cap; missing_atr14; missing_avg_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,"American Airlines Group, Inc. - Common Stock",Industrials,NASDAQ,13.660599708557129,13.373361950828915,12.239212055206298,9034917888.0,0.6264286722455706,65865620.4,True,True,True,True,False,True,False,atr14_below_1.5,XLI,0.46471459805610404,2.415490107622742,-0.48872001158478673,15.629950995347809,22.76360162622064,4.510329210579453,4.0,,,,,,899763874.8401744,False,primary_gate_failed: atr14_below_1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAME,Atlantic American Corporation - Common Stock,Financial Services,NASDAQ,1.975000023841858,2.278809530394418,2.387499988079071,40284524.0,0.0939285329410008,7213.05,False,False,False,False,False,False,False,price_below_21sma; price_below_50sma; price_below_5; market_cap_below_300m; atr14_below_1.5; avg_volume_below_1m,XLF,-1.4585764813444868,-1.7642567464227765,-1.6116540408828928,-4.197393167559049,-0.6080842998717251,-1.7850362792036756,8.0,,,,,,14245.773921972514,False,primary_gate_failed: price_below_21sma; price_below_50sma; price_below_5; market_cap_below_300m; atr14_below_1.5; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAMI,Acadian Asset Management Inc. Common Stock,Financial Services,NYSE,71.5875015258789,70.89845203218006,65.57314994812012,2550590208.0,2.566777910505022,390508.2,True,True,True,True,True,False,False,avg_volume_below_1m,XLF,-1.4585764813444868,-1.7642567464227765,-1.6116540408828928,-4.197393167559049,-0.6080842998717251,-1.7850362792036756,8.0,,,,,,27955506.363368224,False,primary_gate_failed: avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPG,Ascentage Pharma Group International - American Depository Shares,Healthcare,NASDAQ,17.810100555419922,20.276528585524787,22.825562019348144,1662345216.0,1.1039284297398158,9510.8,False,False,True,True,False,False,False,price_below_21sma; price_below_50sma; atr14_below_1.5; avg_volume_below_1m,XLV,-0.7728973374391268,2.010643092664499,-5.991724596788572,-4.926263266937436,11.241710391589365,-0.7173592062598542,7.0,,,,,,169388.30436248778,False,primary_gate_failed: price_below_21sma; price_below_50sma; atr14_below_1.5; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARD,"Aardvark Therapeutics, Inc. - Common Stock",Healthcare,NASDAQ,3.8450000286102295,4.880714280264718,4.7269000053405765,83884000.0,0.6064785889216832,187881.4,False,False,False,False,False,False,False,price_below_21sma; price_below_50sma; price_below_5; market_cap_below_300m; atr14_below_1.5; avg_volume_below_1m,XLV,-0.7728973374391268,2.010643092664499,-5.991724596788572,-4.926263266937436,11.241710391589365,-0.7173592062598542,7.0,,,,,,722403.98837533,False,primary_gate_failed: price_below_21sma; price_below_50sma; price_below_5; market_cap_below_300m; atr14_below_1.5; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
