Symbol,Company,Sector,Exchange,price,sma21,sma50,market_cap,atr,avg_volume,passes_price_sma21,passes_price_sma50,passes_price_min,passes_market_cap,passes_atr,passes_avg_volume,primary_gate_pass,primary_gate_fail_reasons,sector_etf,sector_perf_1w,sector_perf_1m,sector_perf_3m,sector_perf_6m,sector_perf_1y,sector_score,sector_rank,stock_perf_1w,stock_perf_1m,stock_perf_3m,relative_strength_1m,relative_strength_3m,SectorAlignmentScore,BasicPreAIScore,TechnicalPreAIScore,TodayFocusScore,FocusStructureScore,BlueprintSetupScore,BlueprintFitScore,BlueprintFitPass,BlueprintFitFailReasons,FinalPreAIScore,DollarVolume20,PassedFocusGate,GateFailureReasons,Actionability,TriggerLevel,InvalidationLevel,DoNotChaseAbove,PreferredEntryStyle,TodayFocusWarnings,TodayFocusDisqualifiers,PctAboveEMA8,PctAboveEMA21,NearestSupportDistancePct,NearestResistanceDistancePct,NearestDemandDistancePct,NearestSupplyDistancePct,IgnitionAgeBars,PctFromIgnitionClose,HasNearbyTrigger,HasNearbyRetestArea,HasReasonableInvalidation,IsExtended,IsSeverelyExtended,StructureType,BlueprintSetupType,BlueprintSetupMatch,BlueprintSetupEvidence,BlueprintSetupWarnings,ImpulsePresent,ControlledDigestion,CompressionPresent,VolumeDryup,HoldingEMAStructure,TriggerNearby,InvalidationNearby,ExtensionRisk,StructureVerdict,StructureReasons,StructureWarnings,StructureDisqualifiers,ClassificationReason,ScoreBeforeCaps,ScoreAfterCaps,ScoreCapReasons,PullbackDepthPct,RangeContractionPct,LowerHighs,HigherLows,CompressionQuality,DigestionQuality,EMAQuality,TriggerDistancePct,InvalidationDistancePct,VolumeDryupPct,StructurePctAboveEMA8,StructurePctAboveEMA21,BlueprintRangePosition,BlueprintBaseRangePct,BlueprintShortRangePct,BlueprintRedVolumeExpansion
AOS,A. O. Smith,Industrials,,56.72999954223633,57.62238075619652,61.68199951171875,7819017728.0,1.4115794045584542,1566611.45,False,False,True,True,False,True,False,price_below_21sma; price_below_50sma; atr14_below_1.5,XLI,-0.14343086381115588,1.7955359696644857,-1.0910940249055479,14.930005444961347,22.02047377770029,3.877694332931614,4.0,-2.206514077456445,-3.6187581481958664,-22.65848572273459,-5.4142941178603525,-21.56739169782904,,,,,,,,,,,88873866.8413622,False,primary_gate_failed: price_below_21sma; price_below_50sma; atr14_below_1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABT,Abbott Laboratories,Health Care,,86.98999786376953,86.2471429734003,93.09080017089843,151520313344.0,1.8821422031947546,11952256.05,True,False,True,True,True,True,False,price_below_50sma,XLV,-0.8333828149252098,1.9484608633082212,-6.049028854121796,-4.984216993372859,11.17390121658719,-0.7778785379076814,7.0,1.5289420564049916,-0.628287692489915,-23.085765661018907,-2.576748555798136,-17.03673680689711,,,,,,,,,,,1039726728.2567265,False,primary_gate_failed: price_below_50sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACN,Accenture,Information Technology,,177.42999267578125,177.07190595354353,184.42139984130858,109196648448.0,8.172857012067523,6072812.9,True,False,True,True,True,True,False,price_below_50sma,XLK,6.398093325580523,21.09225055976356,40.32465737012407,37.056044382692875,68.47391998132395,30.257687480484076,1.0,0.6067090393097274,-1.4934502078218004,-15.509527297247027,-22.58570076758536,-55.8341846673711,,,,,,,,,,,1077499148.3683898,False,primary_gate_failed: price_below_50sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES,AES Corporation,Utilities,,14.710000038146973,14.545714287530808,14.42479995727539,10490549248.0,0.06714275905064174,11408340.05,True,True,True,True,False,True,False,atr14_below_1.5,XLU,-3.16792273928056,-5.736467346741836,-7.531206555565662,-1.23150371819839,6.376244638976369,-4.0994126264705635,11.0,0.20435784977888005,3.011206675186062,2.9391188062640294,8.7476740219279,10.47032536182969,,,,,,,,,,,167816682.57069364,False,primary_gate_failed: atr14_below_1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL,Aflac,Financials,,114.5,115.32428559802827,113.45739990234375,58278768640.0,2.169286455426897,2510659.85,False,True,True,True,True,True,False,price_below_21sma,XLF,-1.0696212692452245,-1.3765080922165662,-1.22330304488395,-3.8192484043760855,-0.21577208972006767,-1.397369644388815,8.0,-0.30474399544720976,1.032381673027305,1.7958717841217942,2.408889765243871,3.019174829005744,,,,,,,,,,,287470552.825,False,primary_gate_failed: price_below_21sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APD,Air Products,Materials,,282.2699890136719,292.1938098725818,294.45419921875,62856077312.0,5.922138759068081,1096518.9,False,False,True,True,True,True,False,price_below_21sma; price_below_50sma,XLB,0.8792511923723989,1.9348460270738777,-0.5585460536543962,15.788295338498127,18.894650489831744,4.057034813333312,3.0,-1.2109410421090816,-5.389648654561996,2.9430986314280316,-7.324494681635874,3.501644685082428,,,,,,,,,,,309514377.85628355,False,primary_gate_failed: price_below_21sma; price_below_50sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNB,Airbnb,Consumer Discretionary,,133.58999633789062,135.21857270740327,134.67120025634765,79286312960.0,4.470994131905692,4266156.75,False,False,True,True,True,True,False,price_below_21sma; price_below_50sma,XLY,-3.96544596775682,-0.840976769880819,0.29212472640960385,-1.3271341118540114,8.940738865730125,-0.1963843312051171,6.0,1.127925939085439,-3.795192459525365,-1.438687505410774,-2.954215689644546,-1.7308122318203778,,,,,,,,,,,569915864.6093674,False,primary_gate_failed: price_below_21sma; price_below_50sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albemarle Corporation,Materials,,168.33999633789062,183.32381257556733,184.941201171875,19853117440.0,7.4992861066545755,2237829.75,False,False,True,True,True,True,False,price_below_21sma; price_below_50sma,XLB,0.8792511923723989,1.9348460270738777,-0.5585460536543962,15.788295338498127,18.894650489831744,4.057034813333312,3.0,-5.144534186066951,-11.720596684340157,-0.005945806511487017,-13.655442711414034,0.5526002471429092,,,,,,,,,,,376716251.9198227,False,primary_gate_failed: price_below_21sma; price_below_50sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALGN,Align Technology,Health Care,,161.7100067138672,165.07238188244048,173.42900024414064,11581368320.0,6.307855878557477,1011189.8,False,False,True,True,True,True,False,price_below_21sma; price_below_50sma,XLV,-0.8333828149252098,1.9484608633082212,-6.049028854121796,-4.984216993372859,11.17390121658719,-0.7778785379076814,7.0,-0.7183190900485914,-5.9169175471452835,-11.226392477557868,-7.865378410453505,-5.177363623436071,,,,,,,,,,,163519509.346994,False,primary_gate_failed: price_below_21sma; price_below_50sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLE,Allegion,Industrials,,130.11000061035156,130.91999998546783,137.98459945678712,11181115392.0,3.3549303327287947,962844.3,False,False,True,True,True,False,False,price_below_21sma; price_below_50sma; avg_volume_below_1m,XLI,-0.14343086381115588,1.7955359696644857,-1.0910940249055479,14.930005444961347,22.02047377770029,3.877694332931614,4.0,-0.8459080932979202,-1.7963656005247075,-16.936924720806722,-3.591901570189193,-15.845830695901174,,,,,,,,,,,125275672.46067353,False,primary_gate_failed: price_below_21sma; price_below_50sma; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
