Symbol,Company,Sector,Exchange,BasicPreAIScore,TechnicalPreAIScore,TodayFocusScore,FocusStructureScore,FinalPreAIScore,DollarVolume20,PassedFocusGate,GateFailureReasons,Actionability,TriggerLevel,InvalidationLevel,DoNotChaseAbove,PreferredEntryStyle,TodayFocusWarnings,TodayFocusDisqualifiers,PctAboveEMA8,PctAboveEMA21,NearestSupportDistancePct,NearestResistanceDistancePct,NearestDemandDistancePct,NearestSupplyDistancePct,IgnitionAgeBars,PctFromIgnitionClose,HasNearbyTrigger,HasNearbyRetestArea,HasReasonableInvalidation,IsExtended,IsSeverelyExtended,StructureType,ImpulsePresent,ControlledDigestion,CompressionPresent,VolumeDryup,HoldingEMAStructure,TriggerNearby,InvalidationNearby,ExtensionRisk,StructureVerdict,StructureReasons,StructureWarnings,StructureDisqualifiers,PullbackDepthPct,RangeContractionPct,TriggerDistancePct,InvalidationDistancePct,VolumeDryupPct,StructurePctAboveEMA8,StructurePctAboveEMA21
HUN,Huntsman Corporation Common Stock,,NYSE,40.0,115.0,100.0,70.0,91.75,72122612.0807621,False,rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,15.300000190734863,14.526875543730092,,breakout,"Support exists but is farther away, making same-day risk wider.",,0.7033870883839555,3.188051181370244,12.008006792655168,2.0680481944635565,7.338221778460752,,9.0,6.614504436315083,True,True,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,Structure is constructive but still needs confirmation.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is tight.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.,Structure type is no_clear_structure.,3.535695094983793,13.762815256997696,2.0680481944635565,3.0895545994629847,-1.3185659262292315,0.7033870883839555,3.188051181370244
MBLY,Mobileye Global Inc. - Class A Common Stock,,NASDAQ,42.0,95.0,74.0,95.0,87.65,68358242.82832623,False,rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,pullback_only,10.8100004196167,9.140000343322754,10.8100004196167,pullback,"Bullish ignition candle is older than 10 trading days.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.; Price is more than 8% above EMA21; same-day risk is widening.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.",,4.260631280529625,9.997969957224285,15.291933497346466,0.18536105499891153,13.53104766736476,,14.0,2.469138038700347,True,False,False,True,False,no_clear_structure,True,True,True,True,True,True,False,medium,Structure is clean enough to support focus-list review.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; Price compression is present.; Volume has dried up during consolidation.; EMA structure is acceptable.; A nearby trigger level exists.,Extension risk is medium.; Invalidation is too far for clean same-day risk.,Structure type is no_clear_structure.,4.309547305207162,26.718829651332342,0.18536105499891153,9.089231338644044,22.89658551211964,4.260631280529625,9.997969957224285
HMY,Harmony Gold Mining Company Limited,,NYSE,40.0,80.0,70.0,100.0,84.5,85349091.01601267,True,,breakout_only,17.790000915527344,17.29933569533251,,breakout,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.",,0.11169091660594432,2.1426509519752557,8.092814368995215,0.6791218942573174,,,,,True,True,True,False,False,trendline_compression,True,True,True,False,True,True,True,low,Structure is clean enough to support focus-list review.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; Price compression is present.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,Volume is only slightly quieter during the recent structure.,,5.489526367664488,16.39698363219242,0.6791218942573174,2.097704467238337,3.055177921769048,0.11169091660594432,2.1426509519752557
USAS,"Americas Gold and Silver Corporation Common Shares, no par value",,NYSE American,45.0,85.0,64.0,100.0,83.65,36501150.44753066,False,actionability_not_allowed: needs_more_time; today_focus_score_below_70: 64; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,needs_more_time,6.980000019073486,6.14295522880035,,no_trade,"Bullish ignition candle is older than 10 trading days.; Support exists but is farther away, making same-day risk wider.; Resistance trigger is too far away to be a clean same-day trigger.; No nearby breakout trigger was identified within 5% of current price.",,4.625936436133227,4.67274445030148,14.152408580191745,8.5536579380745,5.132191796517038,,19.0,-0.9244983805169471,False,True,True,False,False,no_clear_structure,True,True,True,True,True,True,True,low,Structure is clean enough to support focus-list review.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Price compression is present.; Volume has dried up during consolidation.; EMA structure is acceptable.; A nearby trigger level exists.; A nearby invalidation level exists.,,Structure type is no_clear_structure.,16.796274173809156,21.679721787941443,1.8662576298582145,4.464146301733873,23.258893711828666,4.625936436133227,4.67274445030148
IOVA,"Iovance Biotherapeutics, Inc. - Common Stock",,NASDAQ,42.0,90.0,74.0,85.0,82.4,63079413.447750784,False,rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,4.150000095367432,3.856070093188668,,breakout,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.",,1.8071114383397369,6.325865597587987,17.56097090095359,1.2195168755581687,9.268289874665092,,,,True,True,True,False,False,no_clear_structure,True,True,False,True,True,True,True,low,Structure is clean enough to support focus-list review.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; Volume has dried up during consolidation.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.,Structure type is no_clear_structure.,10.000008141122407,-35.261057835565104,1.2195168755581687,5.949507734580328,16.260981534346342,1.8071114383397369,6.325865597587987
CLOV,"Clover Health Investments, Corp.  - Class A Common stock",,NASDAQ,42.0,105.0,87.0,55.0,78.7,31400171.87856588,False,focus_structure_score_below_65: 55; pullback_only_structure_below_70: 55,pullback_only,4.230000019073486,3.5199999809265137,3.7300000190734863,pullback,"Support exists but is farther away, making same-day risk wider.; Resistance trigger is too far away to be a clean same-day trigger.; Price is more than 8% above EMA21; same-day risk is widening.; No nearby breakout trigger was identified within 5% of current price.",,-0.9086557222083402,8.769420869660438,7.5067016074525705,13.404825668719367,2.5469176440869545,,3.0,-10.76554611831152,False,True,True,True,False,breakout_retest,True,True,False,False,True,False,True,medium,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is acceptable.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.; Extension risk is medium.,,13.404825668719367,-33.92441408331677,13.404825668719367,5.63002780356917,-3.4051180791406788,-0.9086557222083402,8.769420869660438
EVC,Entravision Communications Corporation Common Stock,,NYSE,42.0,105.0,68.0,70.0,78.05,52586167.610351086,False,today_focus_score_below_70: 68,pullback_only,9.399999618530273,7.460000038146973,9.010000228881836,pullback,"Bullish ignition candle is older than 10 trading days.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,-0.3229469162903009,12.756006369961526,17.2031093380696,4.328516978260244,20.532745110699246,,16.0,1.5783578932248243,True,False,False,True,True,trendline_compression,True,True,True,True,True,True,False,high,Structure is constructive but still needs confirmation.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; Price compression is present.; Volume has dried up during consolidation.; A nearby trigger level exists.,EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,,12.31964071564735,29.637523444069704,4.328516978260244,11.31292849101807,29.662564205227294,-0.3229469162903009,12.756006369961526
CNC,Centene Corporation Common Stock,,NYSE,45.0,70.0,72.0,85.0,76.7,315821410.16190165,True,,breakout_only,60.7599983215332,57.220001220703125,,breakout,No bullish ignition candle was detected.; Demand exists but is not near enough for tight same-day risk.,,0.8636330680450444,6.0638954178136695,4.6174368732480815,1.283541626141993,16.669444441088366,,,,True,True,True,False,False,high_tight_flag,True,True,False,True,True,True,True,low,Structure is clean enough to support focus-list review.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is tight.; Volume has dried up during consolidation.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.,,3.5172474356033767,6.8912826865905945,1.283541626141993,4.6174368732480815,44.99077745250734,0.8636330680450444,6.0638954178136695
MSFT,Microsoft Corporation - Common Stock,,NASDAQ,50.0,90.0,85.0,60.0,76.25,16104219161.159565,False,focus_structure_score_below_65: 60; ready_today_structure_below_70: 60,ready_today,,412.6700134277344,,retest,"Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; No nearby breakout trigger was identified within 5% of current price.",,1.3998725780798527,4.003272704407368,6.80021072072824,,2.6783910152974433,,2.0,-1.9833850545200815,False,True,True,False,False,breakout_retest,True,True,False,False,True,False,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.,,5.667220299559239,-54.33944282046359,5.667220299559239,3.8491795501332637,-12.447195381407706,1.3998725780798527,4.003272704407368
GGB,Gerdau S.A. Common Stock,,NYSE,45.0,90.0,82.0,60.0,75.2,93367172.10824382,False,focus_structure_score_below_65: 60; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,4.900000095367432,4.626023969962651,,breakout,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.",,4.410548005376347,5.706323578022365,35.78731716488025,0.20450366369892947,5.316968489644102,,,,True,True,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.,Structure type is no_clear_structure.,0.6135012398253981,-17.500003725288305,0.20450366369892947,5.398280239886033,-9.48070503476266,4.410548005376347,5.706323578022365
