Symbol,Company,Sector,Exchange,price,sma21,sma50,market_cap,atr,avg_volume,passes_price_sma21,passes_price_sma50,passes_price_min,passes_market_cap,passes_atr,passes_avg_volume,primary_gate_pass,primary_gate_fail_reasons,sector_etf,sector_perf_1w,sector_perf_1m,sector_perf_3m,sector_perf_6m,sector_perf_1y,sector_score,sector_rank,BasicPreAIScore,TechnicalPreAIScore,TodayFocusScore,FocusStructureScore,FinalPreAIScore,DollarVolume20,PassedFocusGate,GateFailureReasons,Actionability,TriggerLevel,InvalidationLevel,DoNotChaseAbove,PreferredEntryStyle,TodayFocusWarnings,TodayFocusDisqualifiers,PctAboveEMA8,PctAboveEMA21,NearestSupportDistancePct,NearestResistanceDistancePct,NearestDemandDistancePct,NearestSupplyDistancePct,IgnitionAgeBars,PctFromIgnitionClose,HasNearbyTrigger,HasNearbyRetestArea,HasReasonableInvalidation,IsExtended,IsSeverelyExtended,StructureType,ImpulsePresent,ControlledDigestion,CompressionPresent,VolumeDryup,HoldingEMAStructure,TriggerNearby,InvalidationNearby,ExtensionRisk,StructureVerdict,StructureReasons,StructureWarnings,StructureDisqualifiers,ClassificationReason,ScoreBeforeCaps,ScoreAfterCaps,ScoreCapReasons,PullbackDepthPct,RangeContractionPct,LowerHighs,HigherLows,CompressionQuality,DigestionQuality,EMAQuality,TriggerDistancePct,InvalidationDistancePct,VolumeDryupPct,StructurePctAboveEMA8,StructurePctAboveEMA21
ALGN,Align Technology,Health Care,,165.6699981689453,165.26095290411087,173.5082000732422,11864975360.0,6.033570425851004,966424.75,True,False,True,True,True,False,False,price_below_50sma; avg_volume_below_1m,XLV,-0.7224927728673891,2.062461617128042,-5.943971049010877,-4.877968494907925,11.298218037424501,-0.6669264298866706,7.0,,,,,,160107586.56292343,False,primary_gate_failed: price_below_50sma; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLE,Allegion,Industrials,,127.72000122070312,130.80619049072266,137.93679946899414,10975728640.0,3.3407156808035716,934988.45,False,False,True,True,True,False,False,price_below_21sma; price_below_50sma; avg_volume_below_1m,XLI,0.5364300299616875,2.4885980752935355,-0.4176851765942291,15.712491934323536,22.851234829063372,4.58493255194082,4.0,,,,,,119416725.97534332,False,primary_gate_failed: price_below_21sma; price_below_50sma; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNT,Alliant Energy,Utilities,,71.97000122070312,72.28904724121094,72.22619964599609,18588198912.0,1.318570818219866,2342858.0,False,False,True,True,False,True,False,price_below_21sma; price_below_50sma; atr14_below_1.5,XLU,-1.9384138498696024,-4.539572117153745,-6.357099722899817,0.022592523538333964,7.726938976077324,-2.8817311720284233,11.0,,,,,,168615493.11993408,False,primary_gate_failed: price_below_21sma; price_below_50sma; atr14_below_1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,Allstate,Financials,,210.89500427246094,214.490238734654,213.16730041503905,54288789504.0,5.09892817905971,1749769.7,False,False,True,True,True,True,False,price_below_21sma; price_below_50sma,XLF,-1.390502456926268,-1.6963938909230314,-1.5436857649423597,-4.131211162428928,-0.5394227415671304,-1.7171877785444767,8.0,,,,,,369017688.3573227,False,primary_gate_failed: price_below_21sma; price_below_50sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOGL,Alphabet Inc. (Class A),Communication Services,,360.9649963378906,388.2488098144531,351.3546997070313,4372706099200.0,9.514288766043526,28553681.65,False,True,True,True,True,True,False,price_below_21sma,XLC,-3.6211930217750155,-3.4883681960306223,-5.673876430527525,-2.437958606498547,9.960747177517138,-2.7206331352205884,10.0,,,,,,10306879592.225544,False,primary_gate_failed: price_below_21sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBE,Adobe Inc.,Information Technology,,256.3900146484375,249.89380972726005,245.46660064697267,103632846848.0,10.700714111328125,4788611.45,True,True,True,True,True,True,True,,XLK,6.311345828061743,20.99352275951216,40.210249183975556,36.944301131489674,68.33656140187236,30.151487001994866,1.0,40.0,105.0,100.0,70.0,89.25,1227752159.8111756,True,,breakout_only,258.75,244.27000427246094,,breakout,"Support exists but is farther away, making same-day risk wider.",,0.38768759196139424,2.156250266109083,7.695311774673419,0.9204669514132569,2.3362925269015067,,3.0,-1.0879120788557017,True,True,True,False,False,high_tight_flag,True,True,False,False,True,True,True,low,Structure is constructive but still needs confirmation.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is acceptable.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.,,"Impulse, controlled digestion, EMA hold, and nearby risk/trigger path classified as high_tight_flag despite imperfect compression.",70.0,70.0,,7.4300817912468675,-48.61373065177767,False,True,none,acceptable,acceptable,0.9204669514132569,2.110737483504166,1.0914590226218435,0.38768759196139424,2.156250266109083
MMM,3M,Industrials,,152.82000732421875,148.99666704450334,147.82800048828125,79705915392.0,3.5371431623186385,3833874.0,True,True,True,True,True,True,True,,XLI,0.5364300299616875,2.4885980752935355,-0.4176851765942291,15.712491934323536,22.851234829063372,4.58493255194082,4.0,40.0,90.0,82.0,15.0,57.2,585892652.7601318,False,focus_structure_score_below_65: 15,breakout_only,156.69000244140625,143.58999633789062,,breakout,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.",,0.3717477247715095,1.6810043708683997,6.03979226800192,2.532387731782415,3.5662949521188314,,,,True,True,True,False,False,breakout_retest,False,False,False,True,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Volume has dried up during consolidation.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear recent bullish impulse detected.; No controlled digestion after impulse was detected.; No clear compression/base detected.,,Price is holding EMA structure near a clear invalidation/retest area; classified as breakout_retest.,15.0,15.0,,,12.682358902023083,True,True,loose,none,strong,2.532387731782415,1.6532137750500109,21.8409643438368,0.3717477247715095,1.6810043708683997
AMD,Advanced Micro Devices,Information Technology,,532.2050170898438,460.1854785737537,347.23830078125,867813818368.0,27.423577444893972,36399971.9,True,True,True,True,True,True,True,,XLK,6.311345828061743,20.99352275951216,40.210249183975556,36.944301131489674,68.33656140187236,30.151487001994866,1.0,43.0,85.0,51.0,35.0,53.099999999999994,19372247667.109333,False,today_focus_score_below_70: 51; focus_structure_score_below_65: 35; rejected_structure_type: extended_no_base; pullback_only_structure_below_70: 35; structure_disqualifier: Structure type is extended_no_base.,pullback_only,,393.3599853515625,532.2050170898438,pullback,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; Demand exists but is not near enough for tight same-day risk.; Price is 5-8% above EMA8; avoid chasing without a pullback.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby breakout trigger was identified within 5% of current price.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,5.36863631131459,16.501226287517113,26.088636386312423,,51.48862104165455,,,,False,False,False,True,True,extended_no_base,True,True,False,True,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is tight.; Volume has dried up during consolidation.; A nearby trigger level exists.,No clear compression/base detected.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,"Bullish impulse is present, but high extension and no compression make it extended_no_base.",35.0,35.0,,2.2237597462374303,10.77940885768064,False,True,loose,tight,weak,2.2237597462374303,14.163993644833573,35.389171817495914,5.36863631131459,16.501226287517113
ABBV,AbbVie,Health Care,,218.52000427246094,211.09952363513764,208.83919982910157,386079588352.0,5.300358363560268,5417697.7,True,True,True,True,True,True,True,,XLV,-0.7224927728673891,2.062461617128042,-5.943971049010877,-4.877968494907925,11.298218037424501,-0.6669264298866706,7.0,45.0,70.0,62.0,15.0,45.2,1183875324.550902,False,today_focus_score_below_70: 62; focus_structure_score_below_65: 15,breakout_only,219.60000610351562,212.5490359073544,,breakout,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.",,1.369639000302425,2.809219218340342,7.097752820051384,0.49423476566845537,8.850453605412556,,,,True,True,True,False,False,breakout_retest,False,False,False,True,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Volume has dried up during consolidation.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear recent bullish impulse detected.; No controlled digestion after impulse was detected.; No clear compression/base detected.,,Price is holding EMA structure near a clear invalidation/retest area; classified as breakout_retest.,15.0,15.0,,,-9.025600994893445,False,True,none,none,strong,0.49423476566845537,2.732458469871546,25.53111668852981,1.369639000302425,2.809219218340342
AFL,Aflac,Financials,,115.94999694824219,115.39333307175409,113.4863998413086,59016798208.0,2.150000980922154,2365635.65,True,True,True,True,True,True,True,,XLF,-1.390502456926268,-1.6963938909230314,-1.5436857649423597,-4.131211162428928,-0.5394227415671304,-1.7171877785444767,8.0,40.0,-5.0,5.0,0.0,0.5,274295446.3981529,False,actionability_not_allowed: avoid; today_focus_score_below_70: 5; focus_structure_score_below_65: 0,avoid,116.69999694824219,109.55000305175781,,no_trade,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Wide-spread low-volume action may signal weak participation.",Distribution bias sharply reduces same-day actionability.; Distribution with falling OBV is a hard avoid for long focus.,1.190664309645939,0.8934154363589464,5.519615407442579,0.6468305474253588,,,,,True,True,True,False,False,breakout_retest,False,False,False,False,True,True,True,low,No clean Sean-style focus-list structure is present yet.,EMA structure is acceptable.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear recent bullish impulse detected.; No controlled digestion after impulse was detected.; No clear compression/base detected.; Volume dry-up was not detected.; Red-candle volume is expanding during the pullback.,,Price is holding EMA structure near a clear invalidation/retest area; classified as breakout_retest.,0.0,0.0,,,-18.789678239959873,True,True,none,none,acceptable,0.6468305474253588,0.8855042051009732,-33.34943806571664,1.190664309645939,0.8934154363589464
