Symbol,Company,Sector,Exchange,price,sma21,sma50,market_cap,atr,avg_volume,passes_price_sma21,passes_price_sma50,passes_price_min,passes_market_cap,passes_atr,passes_avg_volume,primary_gate_pass,primary_gate_fail_reasons,sector_etf,sector_perf_1w,sector_perf_1m,sector_perf_3m,sector_perf_6m,sector_perf_1y,sector_score,sector_rank,SectorAlignmentScore,BasicPreAIScore,TechnicalPreAIScore,TodayFocusScore,FocusStructureScore,BlueprintSetupScore,FinalPreAIScore,DollarVolume20,PassedFocusGate,GateFailureReasons,Actionability,TriggerLevel,InvalidationLevel,DoNotChaseAbove,PreferredEntryStyle,TodayFocusWarnings,TodayFocusDisqualifiers,PctAboveEMA8,PctAboveEMA21,NearestSupportDistancePct,NearestResistanceDistancePct,NearestDemandDistancePct,NearestSupplyDistancePct,IgnitionAgeBars,PctFromIgnitionClose,HasNearbyTrigger,HasNearbyRetestArea,HasReasonableInvalidation,IsExtended,IsSeverelyExtended,StructureType,BlueprintSetupType,BlueprintSetupMatch,BlueprintSetupEvidence,BlueprintSetupWarnings,ImpulsePresent,ControlledDigestion,CompressionPresent,VolumeDryup,HoldingEMAStructure,TriggerNearby,InvalidationNearby,ExtensionRisk,StructureVerdict,StructureReasons,StructureWarnings,StructureDisqualifiers,ClassificationReason,ScoreBeforeCaps,ScoreAfterCaps,ScoreCapReasons,PullbackDepthPct,RangeContractionPct,LowerHighs,HigherLows,CompressionQuality,DigestionQuality,EMAQuality,TriggerDistancePct,InvalidationDistancePct,VolumeDryupPct,StructurePctAboveEMA8,StructurePctAboveEMA21,BlueprintRangePosition,BlueprintBaseRangePct,BlueprintShortRangePct
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,Financial Services,NASDAQ,10.520000457763672,10.437999906994047,10.395659980773926,291141024.0,0.01964289801461356,22260.1,True,True,True,False,False,False,False,market_cap_below_300m; atr14_below_1.5; avg_volume_below_1m,XLF,-1.147406376702187,-1.4540519065054602,-1.300967318340418,-3.894871587003512,-0.29422854556396816,-1.474897056050949,8.0,,,,,,,,234176.26218986508,False,primary_gate_failed: market_cap_below_300m; atr14_below_1.5; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,Financial Services,NASDAQ,9.949999809265137,9.941428547813778,,338596832.0,0.01357133047921317,5136.4,True,False,True,True,False,False,False,missing_sma50; atr14_below_1.5; avg_volume_below_1m,XLF,-1.147406376702187,-1.4540519065054602,-1.300967318340418,-3.894871587003512,-0.29422854556396816,-1.474897056050949,8.0,,,,,,,,51107.17902030944,False,primary_gate_failed: missing_sma50; atr14_below_1.5; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,Financial Services,NASDAQ,9.890000343322754,9.919047401064919,,310166912.0,0.006428514208112445,1710.0,False,False,True,True,False,False,False,price_below_21sma; missing_sma50; atr14_below_1.5; avg_volume_below_1m,XLF,-1.147406376702187,-1.4540519065054602,-1.300967318340418,-3.894871587003512,-0.29422854556396816,-1.474897056050949,8.0,,,,,,,,16911.90058708191,False,primary_gate_failed: price_below_21sma; missing_sma50; atr14_below_1.5; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,Financial Services,NASDAQ,9.954999923706055,,,290885088.0,,,False,False,True,False,False,False,False,missing_sma21; missing_sma50; market_cap_below_300m; missing_atr14; missing_avg_volume,XLF,-1.147406376702187,-1.4540519065054602,-1.300967318340418,-3.894871587003512,-0.29422854556396816,-1.474897056050949,8.0,,,,,,,,,False,primary_gate_failed: missing_sma21; missing_sma50; market_cap_below_300m; missing_atr14; missing_avg_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADX,"Applied Aerospace & Defense, Inc. Common Stock",Industrials,NYSE,20.15999984741211,,,,,,False,False,True,False,False,False,False,missing_sma21; missing_sma50; missing_market_cap; missing_atr14; missing_avg_volume,XLI,0.3442288205516508,2.2926647952383528,-0.6080623497164983,15.491277784517376,22.616373138583377,4.384991590076962,4.0,,,,,,,,,False,primary_gate_failed: missing_sma21; missing_sma50; missing_market_cap; missing_atr14; missing_avg_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,"American Airlines Group, Inc. - Common Stock",Industrials,NASDAQ,13.520000457763672,13.366666748410179,12.23640007019043,8941927424.0,0.6285715103149414,66096899.15,True,True,True,True,False,True,False,atr14_below_1.5,XLI,0.3442288205516508,2.2926647952383528,-0.6080623497164983,15.491277784517376,22.616373138583377,4.384991590076962,4.0,,,,,,,,893630106.7647592,False,primary_gate_failed: atr14_below_1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAME,Atlantic American Corporation - Common Stock,Financial Services,NASDAQ,1.975000023841858,2.278809530394418,2.387499988079071,40284524.0,0.0939285329410008,7262.8,False,False,False,False,False,False,False,price_below_21sma; price_below_50sma; price_below_5; market_cap_below_300m; atr14_below_1.5; avg_volume_below_1m,XLF,-1.147406376702187,-1.4540519065054602,-1.300967318340418,-3.894871587003512,-0.29422854556396816,-1.474897056050949,8.0,,,,,,,,14344.030173158646,False,primary_gate_failed: price_below_21sma; price_below_50sma; price_below_5; market_cap_below_300m; atr14_below_1.5; avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAMI,Acadian Asset Management Inc. Common Stock,Financial Services,NYSE,71.77999877929688,70.9076185680571,65.57699989318847,2557448704.0,2.566777910505022,390861.05,True,True,True,True,True,False,False,avg_volume_below_1m,XLF,-1.147406376702187,-1.4540519065054602,-1.300967318340418,-3.894871587003512,-0.29422854556396816,-1.474897056050949,8.0,,,,,,,,28056005.691874694,False,primary_gate_failed: avg_volume_below_1m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA,Alcoa Corporation Common Stock,Basic Materials,NYSE,81.63099670410156,69.2629043942406,67.76201980590821,21541593088.0,3.6737578255789622,4378519.3,True,True,True,True,True,True,True,,XLB,1.2211801412138623,2.2803529012861867,-0.22149050043362983,16.18075830432386,19.297642407241366,4.409734819655062,3.0,86.20486740982753,33.0,85.0,59.0,20.0,0.0,49.32048674098276,357422894.54714507,False,today_focus_score_below_70: 59; focus_structure_score_below_65: 20; rejected_structure_type: extended_no_base; pullback_only_structure_below_70: 20; structure_disqualifier: Structure type is extended_no_base.,pullback_only,,76.20999908447266,81.63099670410156,pullback,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; Price is 5-8% above EMA8; avoid chasing without a pullback.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby breakout trigger was identified within 5% of current price.; Severely extended from EMA8/EMA21; not a ready_today setup.",,5.968258775327229,13.739482743044707,16.49005779501881,,2.4806678568738194,,,,False,True,True,True,True,extended_no_base,no_blueprint_setup,False,,No named Blueprint daily setup was detected.; Extension risk is high; Blueprint setup is capped until a cleaner base or retest forms.,True,True,False,False,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; A nearby trigger level exists.,No clear compression/base detected.; Volume dry-up was not detected.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,"Bullish impulse is present, but high extension and no compression make it extended_no_base.",20.0,20.0,,3.3675940026569373,-15.742998820374577,False,True,none,acceptable,weak,3.3675940026569373,6.640856829519182,-8.669252801188687,5.968258775327229,13.739482743044707,0.9339500091334597,53.24820833383272,38.532256550322465
A,"Agilent Technologies, Inc. Common Stock",Healthcare,NYSE,138.32000732421875,119.47333381289528,117.34500030517579,39065989120.0,5.005001613071987,2653462.55,True,True,True,True,True,True,True,,XLV,-0.6216733884717218,2.1661092089899636,-5.848454237575984,-4.781369124852553,11.411244826072565,-0.5660506161481491,7.0,49.71697469192593,33.0,70.0,54.0,5.0,70.0,43.671697469192594,367026959.35054016,False,today_focus_score_below_70: 54; focus_structure_score_below_65: 5; rejected_structure_type: extended_no_base; pullback_only_structure_below_70: 5; structure_disqualifier: Structure type is extended_no_base.,pullback_only,139.35000610351562,112.9000015258789,138.32000732421875,pullback,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.; Price is 5-8% above EMA8; avoid chasing without a pullback.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,6.318186204173659,12.713849717041192,18.377678175476063,0.7446491648041897,12.463855248904022,,,,True,False,False,True,True,extended_no_base,watchlist_structure,False,Bullish impulse is present.; EMA structure is constructive.; A trade reference level exists.; Volume is not hostile.,Extension risk is high; Blueprint setup is capped until a cleaner base or retest forms.,True,True,False,False,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is tight.; A nearby trigger level exists.,No clear compression/base detected.; Volume dry-up was not detected.; Red-candle volume is expanding during the pullback.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,"Bullish impulse is present, but high extension and no compression make it extended_no_base.",5.0,5.0,,0.46992037454192115,-167.52212424048923,False,True,none,tight,weak,0.7446491648041897,11.279758209801416,-51.08807053518476,6.318186204173659,12.713849717041192,0.7178443921767563,28.610990370063316,28.610990370063316
