Symbol,Company,Sector,Exchange,price,sma21,sma50,market_cap,atr,avg_volume,passes_price_sma21,passes_price_sma50,passes_price_min,passes_market_cap,passes_atr,passes_avg_volume,primary_gate_pass,primary_gate_fail_reasons,sector_etf,sector_perf_1w,sector_perf_1m,sector_perf_3m,sector_perf_6m,sector_perf_1y,sector_score,sector_rank,stock_perf_1w,stock_perf_1m,stock_perf_3m,relative_strength_1m,relative_strength_3m,SectorAlignmentScore,BasicPreAIScore,TechnicalPreAIScore,TodayFocusScore,FocusStructureScore,BlueprintSetupScore,BlueprintFitScore,BlueprintFitPass,BlueprintFitFailReasons,FinalPreAIScore,DollarVolume20,PassedFocusGate,GateFailureReasons,Actionability,TriggerLevel,InvalidationLevel,DoNotChaseAbove,PreferredEntryStyle,TodayFocusWarnings,TodayFocusDisqualifiers,PctAboveEMA8,PctAboveEMA21,NearestSupportDistancePct,NearestResistanceDistancePct,NearestDemandDistancePct,NearestSupplyDistancePct,IgnitionAgeBars,PctFromIgnitionClose,HasNearbyTrigger,HasNearbyRetestArea,HasReasonableInvalidation,IsExtended,IsSeverelyExtended,StructureType,BlueprintSetupType,BlueprintSetupMatch,BlueprintSetupEvidence,BlueprintSetupWarnings,ImpulsePresent,ControlledDigestion,CompressionPresent,VolumeDryup,HoldingEMAStructure,TriggerNearby,InvalidationNearby,ExtensionRisk,StructureVerdict,StructureReasons,StructureWarnings,StructureDisqualifiers,ClassificationReason,ScoreBeforeCaps,ScoreAfterCaps,ScoreCapReasons,PullbackDepthPct,RangeContractionPct,LowerHighs,HigherLows,CompressionQuality,DigestionQuality,EMAQuality,TriggerDistancePct,InvalidationDistancePct,VolumeDryupPct,StructurePctAboveEMA8,StructurePctAboveEMA21,BlueprintRangePosition,BlueprintBaseRangePct,BlueprintShortRangePct,BlueprintRedVolumeExpansion
AOS,A. O. Smith,Industrials,,56.72999954223633,57.62238075619652,61.68199951171875,7819017728.0,1.4115794045584542,1566611.45,False,False,True,True,False,True,False,price_below_21sma; price_below_50sma; atr14_below_1.5,XLI,-0.14343086381115588,1.7955359696644857,-1.0910940249055479,14.930005444961347,22.02047377770029,3.877694332931614,4.0,-2.206514077456445,-3.6187581481958664,-22.65848572273459,-5.4142941178603525,-21.56739169782904,,,,,,,,,,,88873866.8413622,False,primary_gate_failed: price_below_21sma; price_below_50sma; atr14_below_1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABT,Abbott Laboratories,Health Care,,86.98999786376953,86.2471429734003,93.09080017089843,151520313344.0,1.8821422031947546,11952256.05,True,False,True,True,True,True,False,price_below_50sma,XLV,-0.8333828149252098,1.9484608633082212,-6.049028854121796,-4.984216993372859,11.17390121658719,-0.7778785379076814,7.0,1.5289420564049916,-0.628287692489915,-23.085765661018907,-2.576748555798136,-17.03673680689711,,,,,,,,,,,1039726728.2567265,False,primary_gate_failed: price_below_50sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACN,Accenture,Information Technology,,177.42999267578125,177.07190595354353,184.42139984130858,109196648448.0,8.172857012067523,6072812.9,True,False,True,True,True,True,False,price_below_50sma,XLK,6.398093325580523,21.09225055976356,40.32465737012407,37.056044382692875,68.47391998132395,30.257687480484076,1.0,0.6067090393097274,-1.4934502078218004,-15.509527297247027,-22.58570076758536,-55.8341846673711,,,,,,,,,,,1077499148.3683898,False,primary_gate_failed: price_below_50sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES,AES Corporation,Utilities,,14.710000038146973,14.545714287530808,14.42479995727539,10490549248.0,0.06714275905064174,11408340.05,True,True,True,True,False,True,False,atr14_below_1.5,XLU,-3.16792273928056,-5.736467346741836,-7.531206555565662,-1.23150371819839,6.376244638976369,-4.0994126264705635,11.0,0.20435784977888005,3.011206675186062,2.9391188062640294,8.7476740219279,10.47032536182969,,,,,,,,,,,167816682.57069364,False,primary_gate_failed: atr14_below_1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL,Aflac,Financials,,114.5,115.32428559802827,113.45739990234375,58278768640.0,2.169286455426897,2510659.85,False,True,True,True,True,True,False,price_below_21sma,XLF,-1.0696212692452245,-1.3765080922165662,-1.22330304488395,-3.8192484043760855,-0.21577208972006767,-1.397369644388815,8.0,-0.30474399544720976,1.032381673027305,1.7958717841217942,2.408889765243871,3.019174829005744,,,,,,,,,,,287470552.825,False,primary_gate_failed: price_below_21sma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBE,Adobe Inc.,Information Technology,,256.239990234375,249.8866657075428,245.4636001586914,103572201472.0,10.700714111328125,4925295.3,True,True,True,True,True,True,True,,XLK,6.398093325580523,21.09225055976356,40.32465737012407,37.056044382692875,68.47391998132395,30.257687480484076,1.0,7.555399733957535,0.8977726650781781,-6.180435407363638,-20.19447789468538,-46.50509277748771,87.0,40.0,65.0,74.0,70.0,60.0,64.0,False,missing_compression_or_tight_base; missing_bullish_volume_or_dryup,71.6,1262057619.5734131,False,"blueprint_fit_score_below_65: 64; stock_underperforming_sector: 1m -20.1945, 3m -46.5051; blueprint_fit_failed: missing_compression_or_tight_base; blueprint_fit_failed: missing_bullish_volume_or_dryup",breakout_only,258.75,244.27000427246094,,breakout,"OBV is falling, weakening same-day confidence.; Support exists but is farther away, making same-day risk wider.",,0.3420448021027367,2.102022809840154,7.641268856729355,0.9795542699362336,2.279111988940119,,3.0,-1.1457896372091936,True,True,True,False,False,high_tight_flag,compression_breakout_retest,True,Digestion after impulse is controlled.; A breakout trigger is nearby.; A nearby invalidation/retest level exists.; EMA structure supports the setup.,,True,True,False,False,True,True,True,low,Structure is constructive but still needs confirmation.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is acceptable.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.,,"Impulse, controlled digestion, EMA hold, and nearby risk/trigger path classified as high_tight_flag despite imperfect compression.",70.0,70.0,,7.492980385095072,-48.61373065177767,False,True,none,acceptable,acceptable,0.9795542699362336,2.05874746845619,-4.3179922113695035,0.3420448021027367,2.102022809840154,0.2317072338206501,25.99829908723672,18.857338358668187,False
MMM,3M,Industrials,,151.64999389648438,148.94095211937315,147.80460021972655,79095668736.0,3.5789282662527904,3887072.3,True,True,True,True,True,True,True,,XLI,-0.14343086381115588,1.7955359696644857,-1.0910940249055479,14.930005444961347,22.02047377770029,3.877694332931614,4.0,-2.2684825120822927,7.127717230790598,-5.743057696697685,5.332181261126112,-4.651963671792137,84.9388471664658,40.0,70.0,50.0,15.0,100.0,93.0,True,,58.09082707496987,589474490.5701934,False,today_focus_score_below_70: 50; focus_structure_score_below_65: 15,breakout_only,156.69000244140625,143.58999633789062,,breakout,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Active overhead supply is within 3% of current price.",,-0.22633105957072797,0.9739796941598877,5.314868369922565,3.323447904892207,2.822287472176477,0.171453858285342,,,True,True,True,False,False,breakout_retest,accumulation_base_lows,True,Price is basing in the lower/middle part of its recent range.; The larger base is contained rather than loose.; Volume/OBV behavior leans accumulation.; Compression or volume dry-up is present in the base.; A reclaim/retest or invalidation path is nearby.,,False,False,False,True,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Volume has dried up during consolidation.; EMA structure is acceptable.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear recent bullish impulse detected.; No controlled digestion after impulse was detected.; No clear compression/base detected.,,Price is holding EMA structure near a clear invalidation/retest area; classified as breakout_retest.,15.0,15.0,,,9.68470616935666,True,True,loose,none,acceptable,3.323447904892207,0.9645848337462626,19.33331683512516,-0.22633105957072797,0.9739796941598877,0.32335159417641035,13.492179952530648,10.329529451922404,False
ABBV,AbbVie,Health Care,,217.1300048828125,211.03333318801154,208.8113998413086,383623725056.0,5.318929399762835,5602064.3,True,True,True,True,True,True,True,,XLV,-0.8333828149252098,1.9484608633082212,-6.049028854121796,-4.984216993372859,11.17390121658719,-0.7778785379076814,7.0,0.8031620405521078,4.3091857527363775,-8.069773217146281,2.3607248894281563,-2.020744363024485,49.61106073104616,45.0,70.0,62.0,15.0,80.0,93.0,True,,55.791659109656926,1216376248.8128295,False,today_focus_score_below_70: 62; focus_structure_score_below_65: 15,breakout_only,219.60000610351562,212.42267232648092,,breakout,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.",,0.8693663602336477,2.2160217197045196,6.503021258437903,1.137567892579483,8.266942294188716,,,,True,True,True,False,False,breakout_retest,accumulation_base_lows,True,The larger base is contained rather than loose.; Volume/OBV behavior leans accumulation.; Compression or volume dry-up is present in the base.; A reclaim/retest or invalidation path is nearby.; EMA structure is reclaiming or holding.,,False,False,False,True,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Volume has dried up during consolidation.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear recent bullish impulse detected.; No controlled digestion after impulse was detected.; No clear compression/base detected.,,Price is holding EMA structure near a clear invalidation/retest area; classified as breakout_retest.,15.0,15.0,,,-10.037056219493934,False,True,none,none,strong,1.137567892579483,2.167978837780704,19.93920883220479,0.8693663602336477,2.2160217197045196,0.569025119402656,21.242466197882525,9.993995504142305,False
AMD,Advanced Micro Devices,Information Technology,,542.52001953125,460.67666916620163,347.4446008300781,884633436160.0,27.595007760184153,37079630.1,True,True,True,True,True,True,True,,XLK,6.398093325580523,21.09225055976356,40.32465737012407,37.056044382692875,68.47391998132395,30.257687480484076,1.0,9.480568708120618,58.84523217135591,168.48121931365282,37.75298161159235,128.15656194352874,100.0,43.0,65.0,39.0,35.0,0.0,55.0,False,missing_named_blueprint_setup; missing_compression_or_tight_base; missing_nearby_invalidation; high_extension_without_clean_base,54.25,20116441646.063526,False,actionability_not_allowed: avoid; today_focus_score_below_70: 39; focus_structure_score_below_65: 35; blueprint_fit_score_below_65: 55; rejected_structure_type: extended_no_base; blueprint_fit_failed: missing_named_blueprint_setup; blueprint_fit_failed: missing_compression_or_tight_base; blueprint_fit_failed: missing_nearby_invalidation; blueprint_fit_failed: high_extension_without_clean_base; structure_disqualifier: Structure type is extended_no_base.,avoid,,393.3599853515625,542.52001953125,no_trade,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; Demand exists but is not near enough for tight same-day risk.; Price is 5-8% above EMA8; avoid chasing without a pullback.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby breakout trigger was identified within 5% of current price.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,6.925596590945582,18.515931161214393,27.493922585302066,,52.41097408739777,,,,False,False,False,True,True,extended_no_base,no_blueprint_setup,False,,No named Blueprint daily setup was detected.; Extension risk is high; Blueprint setup is capped until a cleaner base or retest forms.,True,True,False,True,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is tight.; Volume has dried up during consolidation.; A nearby trigger level exists.,No clear compression/base detected.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,"Bullish impulse is present, but high extension and no compression make it extended_no_base.",35.0,35.0,,0.722550831127533,9.089608168387041,False,True,loose,tight,weak,0.722550831127533,15.623157983737745,32.453436392032685,6.925596590945582,18.515931161214393,0.989057051820674,184.2044990372289,38.91601148831385,
A,Agilent Technologies,Health Care,,137.39999389648438,119.42952364966983,117.32660003662109,38806147072.0,5.005001613071987,2723955.7,True,True,True,True,True,True,True,,XLV,-0.8333828149252098,1.9484608633082212,-6.049028854121796,-4.984216993372859,11.17390121658719,-0.7778785379076814,7.0,18.61187693385795,22.48172002380089,13.987052308695658,20.53325916049267,20.036081162817453,69.61106073104617,33.0,70.0,54.0,5.0,0.0,40.0,False,missing_named_blueprint_setup; missing_compression_or_tight_base; red_volume_expansion; missing_nearby_invalidation; high_extension_without_clean_base,43.691659109656925,374271496.5542939,False,today_focus_score_below_70: 54; focus_structure_score_below_65: 5; blueprint_fit_score_below_65: 40; rejected_structure_type: extended_no_base; blueprint_fit_failed: missing_named_blueprint_setup; blueprint_fit_failed: missing_compression_or_tight_base; blueprint_fit_failed: red_volume_expansion; blueprint_fit_failed: missing_nearby_invalidation; blueprint_fit_failed: high_extension_without_clean_base; pullback_only_structure_below_70: 5; structure_disqualifier: Structure type is extended_no_base.,pullback_only,139.35000610351562,112.9000015258789,137.39999389648438,pullback,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.; Price is 5-8% above EMA8; avoid chasing without a pullback.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,5.777252833689572,12.040512069654973,17.831145166617326,1.41922292114538,11.877724010471924,,,,True,False,False,True,True,extended_no_base,no_blueprint_setup,False,,No named Blueprint daily setup was detected.; Extension risk is high; Blueprint setup is capped until a cleaner base or retest forms.,True,True,False,False,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is tight.; A nearby trigger level exists.,No clear compression/base detected.; Volume dry-up was not detected.; Red-candle volume is expanding during the pullback.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,"Bullish impulse is present, but high extension and no compression make it extended_no_base.",5.0,5.0,,1.1426545807575295,-167.52212424048923,False,True,none,tight,weak,1.41922292114538,10.746570010470368,-57.85855985862229,5.777252833689572,12.040512069654973,0.6958081464375668,28.610990370063316,28.610990370063316,
