symbol,signal_date,entry_date,entry,stop,target,shares,partial_date,partial_exit,exit_date,exit,reason,bars_held,R,pnl,setup,adr_pct,rr_planned,chase_adr,resolution
MSTR,2021-07-08,2021-07-08,61.87,59.29,64.76,434,,,2021-07-12,59.26,stop,2,-1.01,-1134.24,unr_ema21,6.17,5.48,0.48,exact
AFRM,2021-07-09,2021-07-09,67.28,63.72,69.79,318,,,2021-07-12,64.97,trail_ema,1,-0.65,-736.53,unr_ema8,5.46,1.39,0.28,exact
TTD,2021-07-08,2021-07-08,76.15,73.03,81.25,360,,,2021-07-13,76.46,trail_ema,3,0.1,112.93,unr_ema8,5.03,1.96,0.09,exact
RUN,2021-07-09,2021-07-09,52.61,51.27,59.94,689,,,2021-07-13,53.23,trail_ema,2,0.47,432.06,unr_ema21,6.27,6.86,0.07,exact
LCID,2021-07-12,2021-07-12,268.63,256.33,278.8,91,,,2021-07-13,258.97,trail_ema,1,-0.79,-879.41,unr_ema8,6.29,3.71,0.48,exact
LI,2021-07-12,2021-07-12,32.83,31.67,36.66,665,,,2021-07-14,31.66,stop,2,-1.01,-778.29,unr_ema8,6.44,5.05,0.16,exact
NTLA,2021-07-19,2021-07-19,139.01,130.19,202.73,123,,,2021-07-23,137.64,trail_ema,4,-0.16,-168.3,unr_pdl,9.8,16.52,0.35,exact
MRNA,2021-07-09,2021-07-09,232.93,223.71,245.7,1,,,2021-07-30,353.42,time_stop,15,13.08,120.5,unr_ema8,5.38,2.79,0.29,exact
RUN,2021-07-30,2021-07-30,53.0,51.08,53.42,570,,,2021-08-02,51.06,stop,1,-1.01,-1106.11,unr_pdl,6.4,2.15,0.36,exact
MSTR,2021-07-30,2021-07-30,62.63,60.52,64.76,516,,,2021-08-03,60.49,stop,2,-1.01,-1107.73,unr_pdl,6.1,1.99,0.19,exact
RUN,2021-08-03,2021-08-03,53.62,51.84,53.42,602,,,2021-08-05,51.81,stop,2,-1.01,-1085.35,unr_ema8,6.5,8.33,0.49,exact
LI,2021-08-03,2021-08-03,32.56,31.5,34.22,350,,,2021-08-05,31.48,stop,2,-1.01,-375.96,unr_ema8,7.53,6.48,0.3,exact
RIOT,2021-08-04,2021-08-04,32.73,31.64,34.72,3,,,2021-08-05,31.63,stop,1,-1.01,-3.3,unr_ema8,7.27,7.19,0.32,exact
XPEV,2021-08-03,2021-08-03,42.78,41.39,44.42,769,,,2021-08-06,41.37,stop,3,-1.01,-1084.96,unr_pdl,6.73,6.23,0.37,exact
RUN,2021-08-05,2021-08-05,53.48,51.68,53.42,610,,,2021-08-06,50.71,stop_gap,1,-1.53,-1684.88,unr_pdl,5.92,2.6,0.44,exact
NIO,2021-08-05,2021-08-05,45.62,43.9,46.78,210,,,2021-08-06,43.88,stop,1,-1.01,-366.84,unr_pdl,5.75,3.35,0.43,exact
NIO,2021-08-09,2021-08-09,45.23,43.58,46.78,661,,,2021-08-10,44.2,trail_ema,1,-0.63,-683.95,unr_ema8,5.71,2.18,0.26,exact
XPEV,2021-08-09,2021-08-09,42.39,40.99,44.42,780,,,2021-08-12,40.97,stop,3,-1.01,-1108.85,unr_ema8,6.23,3.31,0.24,exact
NTLA,2021-08-11,2021-08-11,159.78,150.22,178.0,112,,,2021-08-13,155.31,trail_ema,2,-0.47,-500.36,unr_pdl,8.22,5.25,0.44,exact
RIOT,2021-08-12,2021-08-12,36.85,34.57,40.34,463,,,2021-08-13,35.79,trail_ema,1,-0.46,-489.08,unr_ema8,8.05,3.36,0.37,exact
MSTR,2021-08-03,2021-08-03,62.54,60.33,64.76,485,,,2021-08-16,69.72,trail_ema,9,3.26,3481.75,unr_pdl,6.22,2.77,0.28,exact
RIOT,2021-08-16,2021-08-16,35.85,34.48,40.34,752,,,2021-08-17,34.46,stop,1,-1.01,-1043.8,unr_pdl,8.29,4.0,0.07,exact
NTLA,2021-08-16,2021-08-16,152.73,147.59,154.55,200,,,2021-08-17,147.52,stop,1,-1.01,-1041.5,unr_ema21,8.11,5.85,0.35,exact
AMD,2021-08-17,2021-08-17,107.61,105.09,122.49,400,,,2021-08-18,105.04,stop,1,-1.02,-1029.72,unr_pdl,5.07,21.36,0.33,exact
NTLA,2021-08-17,2021-08-17,153.53,146.79,154.55,149,,,2021-08-18,152.35,trail_ema,1,-0.17,-174.77,unr_pdl,7.88,4.61,0.47,exact
MRNA,2021-08-17,2021-08-17,402.06,356.79,497.49,22,,,2021-08-19,375.34,trail_ema,2,-0.59,-587.81,unr_ema8,9.7,2.46,0.13,exact
MRNA,2021-08-23,2021-08-23,412.1,384.04,413.3,35,,,2021-08-24,394.74,trail_ema,1,-0.62,-607.37,unr_ema8,9.27,1.59,0.48,exact
NTLA,2021-08-20,2021-08-20,149.39,139.89,154.55,104,,,2021-08-26,154.4,trail_ema,4,0.53,520.84,unr_pdl,7.82,2.82,0.5,exact
MSTR,2021-08-24,2021-08-24,71.59,68.93,79.8,375,,,2021-08-26,69.33,trail_ema,2,-0.85,-845.42,unr_pdl,5.82,4.23,0.14,exact
MRNA,2021-08-26,2021-08-26,400.5,390.44,413.3,97,,,2021-08-27,390.24,stop,1,-1.02,-995.24,unr_ema8,9.02,2.58,0.1,exact
MSTR,2021-08-27,2021-08-27,70.76,69.32,74.78,532,,,2021-08-30,70.26,trail_ema,1,-0.34,-261.48,unr_ema8,5.56,3.33,0.04,exact
RIOT,2021-08-30,2021-08-30,37.72,36.57,40.8,848,,,2021-08-31,36.55,stop,1,-1.02,-991.41,unr_ema8,7.73,27.85,0.37,exact
RIOT,2021-08-31,2021-08-31,37.34,36.41,40.8,966,,,2021-09-01,36.39,stop,1,-1.02,-914.5,unr_pdl,7.55,14.15,0.24,exact
AMD,2021-08-23,2021-08-23,108.82,104.59,111.71,236,,,2021-09-02,109.15,trail_ema,8,0.08,75.76,unr_ema8,5.32,2.74,0.42,exact
GME,2021-09-02,2021-09-02,53.41,51.4,56.75,492,,,2021-09-03,51.37,stop,1,-1.01,-1000.5,unr_pdl,8.06,7.83,0.39,exact
NTLA,2021-08-31,2021-08-31,160.61,152.62,178.0,2,,,2021-09-07,163.17,trail_ema,4,0.32,5.12,unr_ema8,7.61,4.87,0.32,exact
AFRM,2021-08-27,2021-08-27,67.93,65.89,68.78,5,,,2021-09-08,87.5,trail_ema,7,9.58,97.81,unr_ema21,6.59,8.52,0.41,exact
GME,2021-09-08,2021-09-08,49.72,47.48,56.75,460,,,2021-09-09,45.0,stop_gap,1,-2.11,-2173.44,unr_pdl,8.23,5.01,0.18,exact
PDD,2021-09-09,2021-09-09,104.33,101.02,109.79,312,,,2021-09-13,100.97,stop,2,-1.02,-1049.49,unr_pdl,5.36,4.8,0.36,exact
PDD,2021-09-13,2021-09-13,104.21,98.85,109.79,101,,,2021-09-14,101.73,trail_ema,1,-0.46,-250.78,unr_pdl,5.48,1.57,0.21,exact
GME,2021-09-13,2021-09-13,50.88,47.67,56.75,2,,,2021-09-14,49.79,trail_ema,1,-0.34,-2.18,unr_ema8,9.12,2.92,0.21,exact
APP,2021-09-09,2021-09-09,71.13,68.21,77.03,355,,,2021-09-15,73.53,trail_ema,4,0.83,854.72,unr_ema21,6.61,3.1,0.17,exact
UPST,2021-08-26,2021-08-26,216.86,210.57,220.11,155,,,2021-09-17,303.17,time_stop,15,13.73,13378.05,unr_pdl,8.16,1.71,0.2,exact
MRNA,2021-09-15,2021-09-15,434.68,421.05,464.85,74,,,2021-09-17,420.84,stop,2,-1.02,-1023.79,unr_ema8,5.6,6.08,0.33,exact
MRNA,2021-09-17,2021-09-17,430.27,405.75,464.85,42,,,2021-09-20,423.12,trail_ema,1,-0.29,-300.16,unr_pdl,5.62,1.54,0.05,exact
TGTX,2021-09-13,2021-09-13,30.1,28.67,31.82,717,,,2021-10-04,32.19,trail_ema,15,1.48,1504.88,unr_pdl,5.95,2.43,0.32,exact
LCID,2021-10-21,2021-10-21,244.72,239.73,256.6,210,,,2021-10-22,239.61,stop,1,-1.02,-1074.45,unr_pdl,5.62,9.08,0.24,exact
UPST,2021-10-25,2021-10-25,359.99,344.46,401.49,68,,,2021-10-26,344.29,stop,1,-1.01,-1067.62,unr_ema8,6.43,4.55,0.24,exact
PLUG,2021-10-22,2021-10-22,32.72,31.88,34.0,1244,,,2021-11-05,38.35,trail_ema,10,6.73,7009.27,unr_ema8,5.72,8.51,0.37,exact
RUN,2021-11-04,2021-11-04,57.78,55.92,59.87,154,,,2021-11-05,55.89,stop,1,-1.02,-290.38,unr_ema8,5.48,5.57,0.44,exact
CELH,2021-10-28,2021-10-28,32.6,31.45,33.05,945,,,2021-11-09,33.82,trail_ema,8,1.06,1156.17,unr_pdl,5.81,3.19,0.42,exact
AFRM,2021-11-02,2021-11-02,155.97,148.08,160.69,145,,,2021-11-09,157.71,trail_ema,5,0.22,252.76,unr_pdl,8.1,3.67,0.46,exact
PLUG,2021-11-09,2021-11-09,40.74,38.83,42.95,619,,,2021-11-10,38.72,stop_gap,1,-1.06,-1250.21,unr_pdl,6.13,3.26,0.43,exact
CLSK,2021-11-11,2021-11-11,21.48,20.25,23.6,960,,,2021-11-15,20.68,trail_ema,2,-0.65,-769.03,unr_ema8,8.2,3.45,0.3,exact
MSTR,2021-11-12,2021-11-12,81.21,78.39,84.1,259,,,2021-11-15,78.35,stop,1,-1.01,-742.06,unr_pdl,5.27,1.47,0.12,exact
COIN,2021-11-12,2021-11-12,343.15,331.75,368.9,103,,,2021-11-16,331.58,stop,2,-1.01,-1191.65,unr_ema8,5.16,4.17,0.25,exact
SOFI,2021-11-12,2021-11-12,22.77,22.11,23.63,10,,,2021-11-16,22.1,stop,2,-1.02,-6.76,unr_pdl,6.16,2.09,0.13,exact
