symbol,signal_date,entry_date,entry,stop,target,shares,partial_date,partial_exit,exit_date,exit,reason,bars_held,R,pnl,setup,adr_pct,rr_planned,chase_adr,resolution
XPEV,2021-08-03,2021-08-03,42.78,41.39,44.42,201,,,2021-08-06,41.37,stop,3,-1.01,-283.59,unr_pdl,6.73,6.23,0.37,exact
RUN,2021-08-05,2021-08-05,53.48,51.68,53.42,206,,,2021-08-06,50.71,stop_gap,1,-1.53,-568.99,unr_pdl,5.92,2.6,0.44,exact
NIO,2021-08-05,2021-08-05,45.62,43.9,46.78,2,,,2021-08-06,43.88,stop,1,-1.01,-3.49,unr_pdl,5.75,3.35,0.43,exact
NIO,2021-08-09,2021-08-09,45.23,43.58,46.78,4,,,2021-08-10,44.2,trail_ema,1,-0.63,-4.14,unr_ema8,5.71,2.18,0.26,exact
WULF,2021-07-21,2021-07-21,16.97,15.66,20.98,988,,,2021-08-11,19.93,time_stop,15,2.25,2921.32,unr_ema8,15.92,3.93,0.09,exact
MRNA,2021-08-03,2021-08-03,386.7,343.4,362.0,29,,,2021-08-11,385.14,trail_ema,6,-0.04,-45.41,unr_ema8,7.55,3.21,1.76,exact
XPEV,2021-08-11,2021-08-11,42.27,41.09,44.42,181,,,2021-08-12,41.07,stop,1,-1.02,-217.18,unr_pdl,6.1,3.22,0.16,exact
MARA,2021-08-05,2021-08-05,31.49,27.52,29.97,332,,,2021-08-13,32.86,trail_ema,6,0.35,457.44,unr_ema8,7.51,1.73,1.6,exact
RIOT,2021-08-05,2021-08-05,33.61,30.74,34.72,458,,,2021-08-13,35.79,trail_ema,6,0.76,1000.87,unr_pdl,7.54,2.94,0.83,exact
AFRM,2021-08-06,2021-08-06,67.2,64.06,69.79,278,,,2021-08-13,65.92,trail_ema,5,-0.41,-357.66,unr_pdl,7.71,7.14,0.54,exact
NTLA,2021-08-11,2021-08-11,159.78,150.22,178.0,146,,,2021-08-13,155.31,trail_ema,2,-0.47,-652.26,unr_pdl,8.22,5.25,0.44,exact
BTBT,2021-08-12,2021-08-12,14.8,12.78,20.74,502,,,2021-08-13,13.56,trail_ema,1,-0.61,-619.56,unr_pdl,24.91,5.03,0.31,exact
MSTR,2021-08-03,2021-08-03,62.54,60.33,64.76,575,,,2021-08-16,69.72,trail_ema,9,3.26,4127.85,unr_pdl,6.22,2.77,0.28,exact
RIOT,2021-08-16,2021-08-16,35.85,34.48,40.34,991,,,2021-08-17,34.46,stop,1,-1.01,-1375.54,unr_pdl,8.29,4.0,0.07,exact
NTLA,2021-08-16,2021-08-16,152.73,147.59,154.55,264,,,2021-08-17,147.52,stop,1,-1.01,-1374.77,unr_ema21,8.11,5.85,0.35,exact
AMD,2021-08-17,2021-08-17,107.61,105.09,122.49,528,,,2021-08-18,105.04,stop,1,-1.02,-1359.23,unr_pdl,5.07,21.36,0.33,exact
NTLA,2021-08-17,2021-08-17,153.53,146.79,154.55,197,,,2021-08-18,152.35,trail_ema,1,-0.17,-231.07,unr_pdl,7.88,4.61,0.47,exact
MRNA,2021-08-17,2021-08-17,402.06,356.79,497.49,29,,,2021-08-19,375.34,trail_ema,2,-0.59,-774.84,unr_ema8,9.7,2.46,0.13,exact
AFRM,2021-08-18,2021-08-18,64.71,61.81,68.78,457,,,2021-08-19,63.43,trail_ema,1,-0.44,-586.82,unr_pdl,6.54,22.35,0.65,exact
BTBT,2021-08-19,2021-08-19,12.09,10.39,20.74,764,,,2021-08-20,11.95,trail_ema,1,-0.08,-100.86,unr_pdl,26.35,14.96,0.41,exact
UPST,2021-08-02,2021-08-02,133.48,120.63,128.46,103,,,2021-08-23,202.86,time_stop,15,5.4,7146.33,unr_ema8,6.41,2.33,1.41,exact
NTLA,2021-08-20,2021-08-20,149.39,139.89,154.55,138,,,2021-08-26,154.4,trail_ema,4,0.53,691.12,unr_pdl,7.82,2.82,0.5,exact
AFRM,2021-08-23,2021-08-23,67.74,65.09,68.78,508,,,2021-08-27,67.87,trail_ema,4,0.05,62.08,unr_ema8,6.45,11.83,0.59,exact
